ID,Ass1,Ass2,Ass3,Ass4,Exam,Total,Final,Grade
1,89.1,50.0,85.0,88.9,65,68.54,69,C
2,95.1,82.5,90.5,94.5,52,67.03,67,C
3,74.3,54.4,63.0,63.9,31,43.21,43,N
4,89.8,81.3,82.0,90.4,37,56.545,44,N
5,91.3,98.8,92.5,95.9,79,85.795,86,HD
6,83.9,82.5,89.0,98.6,68,76.61,77,D
7,81.9,50.0,68.5,95.4,59,64.73,65,C
8,50.0,54.9,50.0,87.7,51,56.99,57,P
9,90.5,65.9,50.0,72.2,63,65.54,66,C
10,89.0,89.9,94.0,90.3,84,86.58,87,HD
11,96.6,100.0,98.0,97.3,102,100.0,100,HD
12,58.8,67.5,72.0,75.4,51,58.575,59,P
13,74.7,78.5,50.0,86.2,66,70.54,71,D
14,87.7,80.0,57.0,73.6,52,61.475,61,C
15,66.3,53.7,53.0,81.9,30,44.305,44,N
16,82.7,77.2,73.0,95.9,50,63.75,64,C
17,97.5,96.2,83.5,93.8,55,70.55,71,D
18,70.2,86.1,57.0,76.9,52,62.01,62,C
19,78.1,84.8,61.0,89.0,68,73.825,74,D
20,70.9,50.0,60.0,64.6,51,54.335,54,P
21,87.0,59.8,52.0,98.5,69,72.095,72,D
22,91.4,74.7,78.0,80.6,70,73.765,74,D
23,67.9,57.0,77.0,75.3,59,62.49,62,C
24,57.7,76.3,71.0,87.7,35,52.035,44,N
25,84.7,65.0,73.0,88.9,34,51.37,44,N
26,84.7,53.8,75.0,78.1,36,49.37,44,N
27,88.5,91.5,90.0,87.5,65,74.775,75,D
28,79.0,52.5,65.0,61.6,71,66.915,67,C
29,89.2,65.0,74.0,94.4,61,68.67,69,C
30,63.3,83.5,87.0,89.2,55,66.42,66,C
31,87.0,78.8,66.0,70.8,72,73.29,73,D
32,77.0,81.3,72.0,93.8,52,64.915,65,C
33,64.2,50.0,18.0,0.0,0,11.61,12,N
34,94.4,97.5,80.0,100.0,90,92.345,92,HD
35,92.7,76.8,84.0,100.0,55,68.355,68,C
36,88.8,50.0,76.0,93.2,63,67.52,68,C
37,50.0,50.0,77.0,79.2,68,66.53,67,C
38,75.0,50.0,77.0,56.9,50,53.635,54,P
39,95.8,72.0,90.0,75.0,66,70.94,71,D
40,63.6,89.0,68.0,73.6,52,62.17,62,C
41,88.0,58.5,98.0,91.8,71,74.445,74,D
42,81.5,43.8,0.0,0.0,0,10.645,11,N
43,88.7,50.0,74.0,95.4,73,73.745,74,D
44,71.9,61.3,76.0,94.5,38,53.565,44,N
45,75.1,82.5,69.0,90.8,53,65.0,65,C
46,50.0,50.0,77.0,55.4,53,53.96,54,P
47,50.0,71.3,56.0,93.8,34,50.465,44,N
48,86.2,79.3,85.5,93.8,61,71.15,71,D
49,81.7,67.5,78.0,66.7,64,66.515,67,C
50,93.6,100.0,97.0,100.0,90,93.53,94,HD
51,64.9,88.8,77.0,94.5,61,71.19,71,D
52,75.8,73.8,50.0,92.3,50,61.205,61,C
53,99.1,86.6,82.0,93.1,57,70.21,70,D
54,76.1,50.0,50.0,50.0,33,41.105,41,N
55,53.2,81.3,73.0,86.1,60,67.42,67,C
56,59.9,52.5,50.0,65.8,49,52.64,53,P
57,82.2,89.0,76.0,90.8,51,65.48,65,C
58,73.4,78.5,61.0,95.8,50,62.865,63,C
59,98.0,88.8,75.0,93.8,92,91.24,91,HD
60,73.9,53.2,74.0,95.9,34,50.16,44,N
61,50.0,83.5,80.0,84.7,50,61.73,62,C
62,89.3,97.5,91.5,96.9,77,84.4,84,HD
63,76.0,70.0,54.0,70.8,54,60.02,60,C
64,78.7,81.3,53.0,93.1,50,62.745,63,C
65,86.1,57.0,84.0,78.1,53,60.57,61,C
66,82.6,63.4,56.0,90.4,52,61.2,61,C
67,82.7,56.3,74.0,96.9,75,75.815,76,D
68,80.5,52.4,62.0,70.8,60,61.605,62,C
69,92.8,85.4,84.0,84.7,51,64.955,65,C
70,71.1,87.3,58.0,93.2,51,64.13,64,C
71,90.6,64.6,93.0,89.0,59,67.62,68,C
72,88.3,73.4,83.0,81.5,88,84.6,85,HD
73,93.9,63.3,90.0,93.1,62,69.855,70,D
74,90.9,84.8,92.0,92.3,50,65.71,66,C
75,90.1,87.5,82.0,94.5,62,73.105,73,D
76,92.9,87.3,69.0,93.1,53,66.955,67,C
77,74.0,58.2,54.0,76.4,65,65.59,66,C
78,52.9,53.2,50.0,50.0,36,42.225,42,N
79,50.0,50.0,65.0,88.9,53,58.385,58,P
80,85.6,91.3,52.0,89.0,51,64.525,65,C
81,96.4,70.0,84.0,92.3,73,77.165,77,D
82,87.6,62.5,83.5,75.4,68,70.04,70,D
83,60.2,58.8,79.0,78.5,51,58.155,58,P
84,93.6,100.0,96.0,100.0,106,100.0,100,HD
85,77.8,77.5,66.0,89.2,54,64.595,65,C
86,64.4,80.5,83.0,65.3,50,59.24,59,P
87,71.8,95.0,70.0,98.6,49,65.53,66,C
88,96.0,97.6,65.0,100.0,76,83.29,83,HD
89,91.8,66.3,79.0,95.8,62,70.055,70,D
90,78.7,50.0,75.0,95.8,56,63.155,63,C
91,55.7,82.5,66.0,81.9,49,60.145,60,C
